N° Enr.,TENUESTOCK,ARCLEUNIK,DATECRE,CODEART,DESIGN,LIBART,CODEFAM,DEVISE,UNITE
9673,1,40232,06/10/2020,27107.ECH          ,CORPS DE DIFFUSEUR 100L/MIN 3 BAR POM TEINTE NOIRE SELON PLAN A3-27107-D,CORPS DIFF 100L 3 BAR POM     ,ACO,   ,UNI     
9674,1,40233,06/10/2020,43325              ,BOITIER - COFFRET FILAIRELANCE MONITOR DN200,BOITIER- COFFRET FILAIRE      ,PSF,   ,UNI     
9675,2,40234,06/10/2020,43840.ELCP         ,ELECTROPOLISSAGE SUR CODE 43840 PIEDS SOUDE INOX,ELECTROPOLISSAGE PIEDS SOUDE  ,AST,   ,UNI     
9676,1,40235,06/10/2020,25098.NPSH         ,"Unité portable de mousse ""Handy Foam"" 20 litresCaractéristiques techniques : - Reservoir polyéthylène 20 litres avec harnais- Lance mousse bas foisonnement  auto-aspirante, avec clapets doseurs 0.4%-1%-3% et 6% - Entrée FF 1"" NPSH",UNITE PORTABLE DE MOUSSE 20 L ,PF ,   ,UNI     
9677,1,40236,06/11/2020,44270.SCI          ,"SCIAGE POUR REF 44270 BAGUE DE TRANSFORMATION FF2"" BSP / FM1""1/2 BSP - ALU - OAD",SCIAGE POUR REF 44270         ,PSF,   ,UNI     
9678,1,40237,06/11/2020,22961.SCI          ,SCIAGE POUR REF 22961 BAGUE A SERTIR DN25 - ALU,SCIAGE POUR REF 22961         ,PSF,   ,UNI     
9679,1,40239,06/11/2020,11855.SCI          ,SCIAGE OKM POUR REF 11855 TUBE DE PREHENSION POUR DIFFUSEUR RIA EUROPEEN DN25 - ALU,SCIAGE OKM POUR REF 11855     ,PSF,   ,UNI     
9680,1,40240,06/11/2020,22962.SCI          ,SCIAGE OKM POUR REF 22962 BAGUE A SERTIR DN33 RIA DN33 ALU,SCIAGE OKM POUR REF 22962     ,PSF,   ,UNI     
9681,1,40241,06/11/2020,01187.SCI          ,SCIAGE OKM POUR REF 01187 BAGUE DE SERTISSAGE POUR TUYAUX DN 30/35 (Ø INT.45-LG 35) - INOX,SCIAGE OKM POUR REF 01187     ,PSF,   ,UNI     
9682,1,40244,06/11/2020,01263.SCI          ,SCIAGE POUR CODE 01263 JUPE SERTISSAGE POUR RACCORD DOUILLE CRANTÉE DN 65/70 (Ø EXT.85 - LONG.55 - Ø INT.71) - ALU,SCIAGE POUR 01263             ,PSF,   ,UNI     
9683,1,40246,06/11/2020,17568              ,BIDON ASSEMBLE - LANCE POUR TOTAL,BIDON ASSEMBLE LANCE TOTAL    ,PSF,   ,UNI     
9684,1,40252,06/11/2020,43470              ,"COL DE CYGNE FILETAGE MALE 3/4"" BSP POUR RIA EUROPEEN DN25 - ALU","COL DE CYGNE DN25 FM 3/4"" ALU ",PSF,   ,UNI     
9685,1,40254,06/11/2020,44656              ,PIERCING APPLICATOR COURT,PIERCING APPLICATOR COURT     ,PSF,   ,UNI     
9686,1,40257,06/11/2020,02235.G            ,"BOITE DSP DN40 FF2"" GRAVÉE - BZE","BOITE DSP40 FF2"" GRAVÉE - BZE ",PSF,   ,UNI     
9687,1,40259,06/11/2020,23670.SCI          ,SCIAGE POUR REF 23670 COIFFE ROUGE DE TETE-MOUSSE MF 150 L/MIN - ALU,SCIAGE POUR REF 23670         ,PSF,   ,UNI     
9688,1,40260,06/11/2020,17597.SCI          ,SCIAGE POUR CODE 17597,SCIAGE POUR 17597             ,PSF,   ,UNI     
9689,1,40265,06/12/2020,39003.SCI          ,SCIAGE POUR REF 39003 DOUILLE CRANTEE Ø110 LG 170 MM POUR RACCORD STORZ DN110 A DOUILLE CRANTEE Ø110 - ALU,SCIAGE POUR REF 39003         ,PSF,   ,UNI     
9690,1,40266,06/12/2020,44679              ,ASSEMBLAGE COUDE ET JOINT,ASSEMBLAGE COUDE ET JOINT     ,PF ,   ,UNI     
9691,2,40270,06/12/2020,34778.SBGE.R9005   ,SABLAGE + PEINTURE POLYESTER NOIR RAL 9005 SUR CODE 34778 B CORPS LANCE HAUTE PRESSION PN 40 - AS7G 06 Y 33,SABLAGE + PEINTURE RAL 9005   ,AST,   ,UNI     
9692,2,40271,06/12/2020,28374.FO.SBGE.R1021,SZOUS-TRAITANCE SABLAGE + PEINTURE JAUNE RAL 1021 SUR REF 28374.FO FONDERIE CORPS DE ROBINET MAGIKADOR 750 L/MIN - ALU - BRUT SANS PEINTURE,SABLAG+PEINTURE JAUNE 28374.FO,AST,   ,UNI     
9693,2,40273,06/12/2020,33934.OAD          ,"SOUS-TRAITANCE TRAITEMENT OAD POUR REF 33934 CORPS PROPORTIONNEUR ROUGE POUR RIA 75 L/MIN TOURNANT 1""1/2 / FILETEE MALE 1""1/2 BSP - ALU - OADDEBALLAGE UNITAIRE PIECE VISIBLE - EMBALLAGE UNITAIRE",TRAITEMENT OAD POUR REF 33934 ,AST,   ,UNI     
9694,2,40274,06/12/2020,44097.OAD          ,SOUS-TRAITANCE TRAITEMENT OAD POUR REF 44097 TIGE PORTE AIMANT  AGELASTO DN 100 - ALU - OADPAS DE DEBALLAGE PIECE NON VISIBLE - PAS D'EMBALLAGE UNITAIRE,TRAITEMENT OAD POUR REF 44097 ,AST,   ,UNI     
9695,1,40276,06/12/2020,14900.NEW          ,PIERCING APPLICATOR COURT AVEC TETE 250 L/MN - INOX ,PIERCING APPLICATOR COURT INOX,PSF,   ,UNI     
9696,2,40277,06/12/2020,44270.OAD          ,"SOUS-TRAITANCE TRAITEMENT OAD POUR REF 44270 BAGUE DE TRANSFORMATION FF2"" BSP / FM1""1/2 BSP - ALU - OAD",TRAITEMENT OAD POUR REF 44270 ,AST,   ,UNI     
9697,1,40285,06/12/2020,21343.SCI          ,SCIAGE POUR REF 21343 CORPS ROBINET DOSEUR AVEC BIDON - ALU - OAD,SCIAGE POUR REF 21343         ,PSF,   ,UNI     
9698,1,40286,06/12/2020,21342.SCI          ,SCIAGE POUR REF 21342 BOUCHON POUR ROBINET DOSEUR AVEC BIDON ALU - OAD,SCIAGE POUR REF 21342         ,PSF,   ,UNI     
9699,1,40289,06/12/2020,44669              ,"BAGUE DE TRANSFORMATION FF3/4"" BSP / FF1"" BSP - ALU - OAD NOIRE","BAGUE FF1"" BSP / FF3/4"" BSP   ",PSF,   ,UNI     
9700,1,40292,06/15/2020,40670              ,ETIQUETTE AUTOCOLLANTE ANTENNE RECEPTEUR MINI V2 SELON PLAN A4-40670 AUTOCOLLANT 7900 + VERNIS PROTECGRAPHIC,ETIQUETTE AUTOCOLLANTE ANTENNE,ACO,   ,UNI     
9701,1,40293,06/15/2020,40591              ,ETIQUETTE AUTOCOLLANTE DE DANGER ELECTRIQUE SELON PLAN A4-40591 AUTOCOLLANT 7900 + VERNIS ,ETIQUETTE DANGER ELECTRIQUE   ,ACO,   ,UNI     
9702,1,40294,06/15/2020,41464              ,ETIQUETTE DE TRACABILITE RIA FIXE DN25-20M AVEC DIFFUSION ALU/POM AUTOCOLLANTPOUR REF 08340,ETIQ RIA FIXE DN25-30M ALU    ,ACO,   ,UNI     
9703,1,40295,06/15/2020,41466              ,ETIQUETTE POK POUR CARTON DE RIA DN25-30M SELON PLAN A4-41466-A AUTOCOLLANT 7900 + VERNIS,ETIQUETTE CTN RIA 25/30 POK   ,ACO,   ,UNI     
9704,2,40296,06/15/2020,1001606            ,"ENTRETIEN CLIMATISATION 1 VISITE/AN : VERIFICATION+NETTOYAGE+REMPLACEMENT DES FILTRES, DES BACSCONTRÔLE ROTATION+EQUILIBRATION VENTILATEUR, GRAISSAGECONTRÔLE ORGANES REGULATIONS+ SOUFFLAGE TEMPERATURES ET REPRISE UNITES INT. + PRESSION CIRCUIT FRIGORIGENE.",ENTRETIEN CLIMATISATION       ,ASI,   ,UNI     
9705,1,40297,06/15/2020,44611              ,"ADAPTATEUR FM 3/8""POUR FLEXIBLE D'ASPIRATION-OADROBINET DOSEUR POUR PROPORTIONNEUR ULTRA FOAM","ADAPTATEUR FM 3/8""FLEXIBLE    ",PSF,   ,UNI     
9706,1,40300,06/15/2020,44610              ,"ADAPTATEUR FF 1/2""POUR FLEXIBLE D'ASPIRATION-OADROBINET DOSEUR POUR PROPORTIONNEUR ULTRA FOAM","ADAPTATEUR FF 1/2"" FLEXIBLE   ",PSF,   ,UNI     
9707,1,40301,06/15/2020,23150.ECH          ,GAINE DE TETE RIA DN33-DIFFUSEUR DN33 SELON PLAN A4-23150-B EN POLYURETHANE TEINTE NOIRE,GAINE DE TETE                 ,ACO,   ,UNI     
9708,1,40302,06/15/2020,24165.ECH          ,ECHANTILLION REF 24165 POIGNEE REVOLVER VERT RAL 6024 - POLYURETHANE 90 SHORES +-5,POIGNEE REVOLVER VERT         ,ACO,   ,UNI     
9709,1,40306,06/15/2020,35940.SCI          ,"SCIAGE POUR REF 35940 RACCORD MALE 2""1/2 BS336 / FF2"" BSP - ALU - OAD + TEFLON",SCIAGE POUR REF 35940         ,PSF,   ,UNI     
9710,1,40326,06/15/2020,11853.SCI          ,SCIAGE TUBE DE PREHENSION RIA DN33,SCIAGE TUBE DE PREHENSION RIA ,PSF,   ,UNI     
9711,1,40339,06/15/2020,44601              ,CORPS - ROBINET  DOSEUR POUR PROPORTIONNEUR  ULTRA FOAM 0-400 L/MIN -OAD SELON POK 44601-B,CORPS ROB DOSEUR              ,PSF,   ,UNI     
9712,1,40376,06/16/2020,07786.SCI          ,SCIAGE POUR REF 07786 BAGUE DE SERTISSAGE POUR TUYAUX DN116 (Ø EXT 121/INT 116 - LG 80) - ALU,SCIAGE POUR REF 07786         ,PSF,   ,UNI     
9713,1,40377,06/16/2020,TC010513           ,BOITIER IP66 NOIR FONTE ALU USINE POUR RECEPTEUR MINI V2 / ENCLOSURE FOR MINI V2 RECEIVER) suivant plan chinois 10513,BOITIER IP66 NOIR             ,PSF,   ,UNI     
9714,1,40379,06/16/2020,15078.SCI          ,SCIAGE POUR CODE 15078,SCIAGE POUR 15078             ,PSF,   ,UNI     
9715,1,40382,06/16/2020,44611.SCI          ,DECOUPE POUR CODE 44611,DECOUPE POUR 44611            ,PSF,   ,UNI     
9716,1,40386,06/16/2020,15075.SCI          ,SCIAGE POUR CODE 15075,SCIAGE POUR 15075             ,PSF,   ,UNI     
9717,1,40387,06/16/2020,07774.SCI          ,SCIAGE POUR REF 07774 BAGUE SERTISSAGE POUR TUYAU DN50 - ALU,SCIAGE POUR REF 07774         ,PSF,   ,UNI     
9718,2,40388,06/16/2020,44602.OAD          ,SOUS-TRAITANCE TRAITEMENT OAD POUR REF 44602 USINAGE COMMUN POUR BAGUE DE SELECTION POUR ROBINET DOSEUR ULTRA-FOAM - ALUARTICLE ARRETE CAR OBSOLETE DEBALLAGE INDIVIDUEL PIECE VISIBLE - PAS D'EMBALLAGE UNITAIRE,TRAITEMENT OAD POUR REF 44602 ,AST,   ,UNI     
9719,2,40389,06/16/2020,44611.OAD          ,"TRAITEMENT OAD SUR CODE 44611 ADAPTATEUR FM 3/8"" POUR FLEXIBLE D'ASPIRATION ROBINET DOSEUR POUR PROPORTIONNEUR ""ULTRA-FOAM"" - ALU 2017DEBALLAGE 1 SUR 2PIECE VISIBLE - PAS D'EMBALLAGE UNITAIRE",TRAITEMENT OAD ADAPTATEUR FM  ,AST,   ,UNI     
9720,2,40390,06/16/2020,44601.OAD          ,"TRAITEMENT OAD SUR CODE 44601 CORPS ROBINET DOSEUR POUR PROPORTIONNEUR ""ULTRA-FOAM"" 0-400 l/min- ALU 6005-T6DEBALLAGE 1 SUR 2PIECE VISIBLE - PAS D'EMBALLAGE UNITAIRE",TRAITEMENT OAD CORPS ROBINET  ,AST,   ,UNI     
9721,2,40391,06/16/2020,44610.OAD          ,"TRAITEMENT OAD SUR CODE POK 44610 ADAPTATEUR FF 1/2"" POUR FLEXIBLE D'ASPIRATION ROBINET DOSEUR POUR PROPORTIONNEUR ""ULTRA-FOAM"" - ALU 2017",TRAITEMENT OAD ADAPTATEUR FF  ,AST,   ,UNI     
9722,2,40394,06/16/2020,32520.OADN         ,SOUS-TRAITANCE TRAITEMENT OAD NOIRE POUR REF 32520 TOURILLON LEGENDE 400L GRIVORY - ALU - OAD NOIREPAS DE DEBALLAGE PIECE VISIBLE - EMBALLAGE 1 SUR 2,TRAITEMENT OAD NOIRE REF 32520,AST,   ,UNI     
9723,1,40395,06/16/2020,01623.SCI          ,"SCIAGE POUR REF 01623 BAGUE DE TRANSFORMATION FF3"" BSP / FM4"" BSP - ALU",SCIAGE POUR REF 01623         ,PSF,   ,UNI     
9724,1,40397,06/17/2020,44686              ,BAGUE CALIBREE-CANON EAU MOUSSE U-C 10 000 L/MN-ERTACETAL-VOIR PLAN 43849,BAGUE CALIBREE                ,PSF,   ,UNI     
9725,1,40398,06/17/2020,07059.SCI          ,SCIAGE POUR CODE 07059,SCIAGE POUR 07059             ,PSF,   ,UNI     
9726,1,40399,06/17/2020,44505.SCI          ,SCIAGE POUR REF 44505 DISTRIBUTEUR TURBINE POUR TURBO-POMPE (VERSION 2020) ALU - OAD,SCIAGE POUR REF 44505         ,PSF,   ,UNI     
9727,1,40400,06/17/2020,44097.SCI          ,SCIAGE POUR REF 44097 TIGE PORTE AIMANT  AGELASTO DN 100 - ALU - OAD,SCIAGE POUR REF 44097         ,PSF,   ,UNI     
9728,1,40401,06/17/2020,44005.SCI          ,SCIAGE POUR REF 44005 ENTRETOISE ASPIRATION POMPE POUR TURBO-POMPE D'EPUISEMENT (POLOGNE) - ALU - OAD,SCIAGE POUR REF 44005         ,PSF,   ,UNI     
9729,1,40402,06/17/2020,13120.3            ,"PROPORTIONNEUR ""ULTRA FOAM"" 125 GPM (400 L/MIN) SANS BY-PASS + DIAGRAMME CALIBRÉ 0.3% ENTRÉE ET SORTIE AVEC DSP40 - ALU - OADLIVRÉ AVEC FLEXIBLE ASPIRATION 26413 (1M + 1M)",ULTRA FOAM 400 L/M ASPI 0.3%  ,PF ,   ,UNI     
9730,1,40403,06/17/2020,08946.BSP          ,"Lance ""Turbokabronze 500"" à débits réglables 225-360-475-FLUSH. Entrée FF 1.5 BSP  -  . Bronze",LANCE TURBOKABRONZE 500 FF 1.5,PF ,   ,UNI     
9731,1,40404,06/17/2020,16219.R            ,LANCE TURBOKADOR 500 DEBITS 100-200-300 ENTREE DSP 40AV ALUOPTION ROUGE,LANCE TURBO 100-200-300 ROUGE ,PF ,   ,UNI     
9732,2,40405,06/17/2020,1001703            ,Maintenance site. Gaine TPC verte ø40mm avec tire-fil pour protection reseau telecom enterré - 1 couronne de 50 mètres linéaires - Prix au mètre,Gaine TPC verte ø40mm         ,ASI,   ,M       
9733,2,40406,06/17/2020,1001704            ,Maintenance site. Gaine TPC rouge ø90mm avec tire-fil pour protection reseau electrique enterré - 1 couronne de 50mètres linéaires - Prix au mètre,Gaine TPC rouge ø90mm         ,ASI,   ,M       
9734,2,40407,06/17/2020,1001601            ,Ecrans extérieurs/visières de casque-EPI,Ecran exterieur de casque     ,AFO,   ,UNI     
9735,2,40408,06/17/2020,1001602            ,EPI. Stoppeur de projection (grille),Stoppeur de projection /grille,AFO,   ,UNI     
9736,2,40412,06/17/2020,1001603            ,Chargeur intelligent pour batterie nouvelle version. Prise de connection carrée. A utiliser pour recharger uniquement les batteries 94000NM 7FX15 et 94000NM 7FX16 se montant sur système ADFLO suivants : 94000NM 7FX - 94000NM 7FXX - 94000NM 7FXMP,Chargeur batterie adflo Li-ion,PF ,   ,UNI     
9737,1,40425,06/17/2020,39437              ,SUPPORT NIVEAU A BULLE GAUCHE POUR POUR REMORQUE AVEC LANCE DN200 12 ENTREES - ALU,SUPPORT NIVEAU A BULLE GAUCHE ,PSF,   ,UNI     
9738,1,40433,06/17/2020,44602              ,USINAGE COMMUN POUR BAGUE DE SELECTION POUR ROBINET DOSEUR ULTRA-FOAM - ALU,BAGUE DE SELECTION            ,PSF,   ,UNI     
9739,1,40436,06/17/2020,44602.SCI          ,SCIAGE POUR REF 44602 USINAGE COMMUN POUR BAGUE DE SELECTION POUR ROBINET DOSEUR ULTRA-FOAM - ALU,SCIAGE POUR REF 44602         ,PSF,   ,UNI     
9740,2,40437,06/17/2020,1001701            ,Protection de cou en Tecaweld. EPI,Protection de cou en Tecaweld ,AFO,   ,UNI     
9741,2,40438,06/17/2020,1001702            ,Protection courte de tête. EPI,Protection courte de tête     ,AFO,   ,UNI     
9742,1,40439,06/17/2020,44604              ,BAGUE DE SELECTION 200 L/MIN @ 10 BAR POUR ROBINET DOSEUR ASSEMBLE ULTRA FOAM - ALU - OAD,BAGUE SELECTION 200L @ 10 BAR ,PSF,   ,UNI     
9743,1,40440,06/17/2020,11318.SCI          ,SCIAGE POUR REF 11318 COL CYGNE RIA EUROPEEN DN19 - ALU,SCIAGE POUR REF 11318         ,PSF,   ,UNI     
9744,1,40441,06/17/2020,11318.USI          ,USINAGE POUR REF 11318 COL CYGNE RIA EUROPEEN DN19 - ALU,USINAGE POUR REF 11318        ,PSF,   ,UNI     
9745,1,40442,06/17/2020,25258.SCI          ,SCIAGE POUR REF 25258 BOITE A EAU RIA TP DN19 ALU,SCIAGE POUR REF 25258         ,PSF,   ,UNI     
9746,1,40443,06/17/2020,44605              ,BAGUE DE SELECTION 400 L/MIN @ 10 BAR POUR ROBINET DOSEUR ASSEMBLE ULTRA FOAM - ALU - OAD,BAGUE SELECTION 400L @ 10 BAR ,PSF,   ,UNI     
9747,1,40444,06/17/2020,44606              ,BAGUE DE SELECTION 60 GPM @ 200 PSI POUR ROBINET DOSEUR ASSEMBLE ULTRA FOAM - ALU - OAD,BAGUE SELECTION 60GPM @ 200PSI,PSF,   ,UNI     
9748,1,40445,06/17/2020,44607              ,BAGUE DE SELECTION 95 GPM @ 200 PSI POUR ROBINET DOSEUR ASSEMBLE ULTRA FOAM - ALU - OAD,BAGUE SELECTION 95GPM @ 200PSI,PSF,   ,UNI     
9749,1,40446,06/17/2020,44608              ,BAGUE DE SELECTION 150 L/MIN @ 40 BAR POUR ROBINET DOSEUR ASSEMBLE ULTRA FOAM - ALU - OAD,BAGUE SELECTION 150L @ 40 BAR ,PSF,   ,UNI     
9750,1,40447,06/17/2020,07952.SST          ,"UNITE MOBILE MOUSSE RESERVOIR 150L, EQUIPER: - 1 LANCE MOUSSE MF 400L/MIN DSP 65 (09037.DSP65) - 1 PROPORTIONNEUR MIXI 400L/MIN DSP65 (18410) - 1 FLEXIBLE D'ASPIRATION GFR - SANS TUYAU","UNITE MOBILE 150L, SANS TUYAU ",PF ,   ,UNI     
9751,1,40450,06/17/2020,25215.USI          ,USINAGE POUR REF 25215 TUBE D'ALIMENTATION POUR TUBE D'ALIMENTATION SOUDÉ POUR RIA TP DN19 - ACIER,USINAGE POUR REF 25215        ,PSF,   ,UNI     
9752,1,40528,06/18/2020,44687              ,BUSE DE DOSAGE ASSEMBLEE Z4 0.3% Ø1.6 POUR PROPORTIONNEUR PYROCOOL 400L/MIN - INOX,BUSE ASSEMBLEE Z4 0.3% Ø1.6   ,PSF,   ,UNI     
9753,1,40529,06/18/2020,16659.SCI.2m       ,TUYAU 2M POUR CANNE ASPIRATION,TUYAU 2M POUR CANNE ASPI      ,PSF,   ,UNI     
9754,1,40530,06/18/2020,01260.SCI          ,SCIAGE POUR CODE 01260 JUPE SERTISSAGE POUR RACCORD DOUILLE CRANTÉE DN 100/110 (Ø EXT.130 - LONG.87 - Ø INT.111) - ALU,SCIAGE JUPE 110 TUYAU DN130ALU,PSF,   ,UNI     
9755,1,40534,06/18/2020,44684              ,VERROU POUR RACCORD AR DN 100 - ALU - OAD NOIRE,VERROU AR 100 OAD NOIR        ,PSF,   ,UNI     
9756,1,40537,06/18/2020,06354.SCI.2M       ,SCIAGE TUYAU ASPI NU DN110,SCIAGE TUYAU ASPI NU DN110    ,PSF,   ,UNI     
9757,1,40538,06/18/2020,44161              ,"REMORQUE DELTA AVEC AZIMUTOR ENTRÉE FM 4"" BSP ET SORTIE FF 2""1/2 BSP",REMORQUE DELTA                ,PF ,   ,UNI     
9758,1,40539,06/18/2020,00632.SCI          ,SCIAGE POUR REF 00632 SUPPORT INTERBAGUE POUR ROTOR ASSEMBLE POUR TURBOPOMPE - ALU - OAD,SCIAGE POUR REF 00632         ,PSF,   ,UNI     
9759,1,40541,06/18/2020,44683              ,PLAQUE IDENTIFICATION CCC MONITOR DN100 N° 72 POUR SNAKE 4.0-2400 LPM-GRAVURE,ETIQUETTE CCC N°72            ,PSF,   ,UNI     
9760,1,40542,06/19/2020,39517.SCI          ,SCIAGE POUR REF 39517 BAGUE DE TETE POUR DIFFUSEUR AUTOMATIQUE 3000 L/MIN - ALU - OAD NOIRE,SCIAGE POUR REF 39517         ,PSF,   ,UNI     
9761,1,40543,06/19/2020,40525              ,BAGUE DE TETE GRAVEE EN 15767-2 TYPE 3 PN = 16 BAR 500 - 3000 L/MIN PROSTOIA 3000 LOGO POK : NON POUR DIFFUSEUR MANUEL 3000 - ALU - OAD NOIRE,BAGUE TETE DIFF MANU 3000     ,PSF,   ,UNI     
9762,1,40544,06/19/2020,40526              ,BAGUE DE TETE GRAVEE DW 16/24/32 - 2016 PN = 16 BAR 500 3200 L/MIN PROSTOIA 3200 LOGO POK : NON POUR DIFFUSEUR MANUEL 3200L POLOGNE - ALU - OAD NOIRE,BAGUE DE TETE MANU 3200L      ,PSF,   ,UNI     
9763,2,40545,06/19/2020,33465.FO.SBGE.R1021,SOUS-TRAITANCE SABLAGE + PEINTURE JAUNE RAL 1021 SUR REF 33465.FO FONDERIE SORTIE DE CANON JAUNE POUR LANCE MONTMIRAIL - ALU - BRUT SANS PEINTURE,SABLAGE + PEINTURE JAUNE      ,AST,   ,UNI     
9764,2,40546,06/19/2020,03375.MICB         ,"MICROBILLAGE SUR CODE 03375 LAME A CAME POUR OBTURATEUR METALLIQUE A PLAQUETTE DN70 - ALU AS7G 03 Y33POIDS PESE : 0,070KG/PC",MICROBILLAGE LAME A CAME      ,AST,   ,UNI     
9765,2,40547,06/19/2020,03374.MICB         ,"MICROBILLAGE SUR CODE 03374-A ETRIER POUR OBTURATEUR A DN70 - ALU AS7G 03 Y33POIDS PESE : 0,090KG/PC",MICROBILLAGE ETRIER           ,AST,   ,UNI     
9766,2,40548,06/19/2020,03376.MICB         ,"MICROBILLAGE SUR CODE 03376-B PLAQUETTE DN70 POUR OBTURATEUR METALLIQUE A PLAQUETTE DN70POIDS PESE : 0,080KG/PC",MICROBILLAGE PLAQUETTE DN70   ,AST,   ,UNI     
9767,1,40549,06/19/2020,39516.SCI          ,SCIAGE POUR REF 39516 AJUTAGE POUR DIFFUSEUR AUTOMATIQUE 3000 V2016 - ALU - OAD NOIRE + SATINAGE,SCIAGE POUR REF 39516         ,PSF,   ,UNI     
9768,1,40551,06/19/2020,35588.NST          ,"LANCE ""TURBOKADOR 1000"" À DÉBITS RÉGLABLES 300-500-750-1000 L/MIN À 6 BAR ET PURGE + JETS RÉGLABLES (ÉCRAN, DIFF. ATTAQUE + JET DROIT). 2 ÉLÉMENTS PRÉHENSION. ENTRÉE FILETÉE FEMELLE 2""1/2 NST. ALUMINIUM ANODISÉVERSION 2015",LANCE TURBO 1000 ENTREE 2.5NST,PF ,   ,UNI     
9769,1,40553,06/19/2020,44706              ,REHAUSSE MONITOR SUR PIED,REHAUSSE MONITOR SUR PIED     ,PSF,   ,UNI     
9770,1,40556,06/22/2020,16276.SCI.3M       ,SCIAGE TUYAU TRANSLUCIDE,SCIAGE TUYAU TRANSLUCIDE      ,PSF,   ,UNI     
9771,2,40558,06/22/2020,44505.OAD          ,SOUS-TRAITANCE TRAITEMENT OAD POUR REF 44505 DISTRIBUTEUR TURBINE POUR TURBO-POMPE (VERSION 2020) - ALU,TRAITEMENT OAD POUR REF 44505 ,AST,   ,UNI     
9772,2,40559,06/22/2020,44500.OAD          ,SOUS-TRAITANCE TRAITEMENT OAD POUR REF 44500 COUDE SORTIE DE POMPE POUR TURBOPOMPE VERSION 2020 (USINE) - ALU,TRAITEMENt OAD POUR REF 44500 ,AST,   ,UNI     
9773,1,40560,06/22/2020,44695              ,"ROBINET LANCE HP DAMSTER PN40-ENTREE FF 1""BSP/SORTIE FM 1"" NST",ROBINET LANCE HP DAMSTER PN40 ,PSF,   ,UNI     
9774,2,40561,06/22/2020,44005.OAD          ,SOUS-TRAITANCE TRAITEMENT OAD POUR REF 44005 ENTRETOISE ASPIRATION POMPE POUR TURBO-POMPE D'EPUISEMENT (POLOGNE) - ALU - OAD,TRAITEMENT OAD POUR REF 44005 ,AST,   ,UNI     
9775,2,40562,06/22/2020,35940.OADT         ,"SOUS-TRAITANCE TRAITEMENT OAD + TEFLON POUR REF 35940 RACCORD MALE 2""1/2 BS336 / FF2"" BSP - ALU - OAD + TEFLON",OADT MALE COUPLING 1/2        ,AST,   ,UNI     
9776,1,40563,06/22/2020,44161.DSP65        ,REMORQUE DELTA AVEC AZIMUTOR ENTRÉE RAC AR100  ET SORTIE RACCORD DSP65,REMORQUE DELTA                ,PF ,   ,UNI     
9777,1,40564,06/22/2020,44690              ,RONDELLE DE LIMITATION DE DEBIT POUR LANCE HP 250 L/MN A 25 BARS - LAITON,RONDELLE LIMITATION DEBIT     ,ACO,   ,UNI     
9778,1,40565,06/22/2020,44693              ,"LANCE HP DAMSTER- 250 L/MN à 25 BARS ENTREE FF 1"" BSP",LANCE HP DAMSTER 250 L/MN 25B ,PF ,   ,UNI     
9779,2,40566,06/22/2020,44076.OADN         ,SOUS-TRAITANCE TRAITEMENT OAD NOIRE POUR REF 44076 ROUE TANGENTE AZIMUT POUR EMBASE AGELASTO DN100 - ALU - OAD NOIRE,TRAITEMENT OAD NOIRE SUR 44076,AST,   ,UNI     
9780,2,40567,06/22/2020,34626.OADN         ,"OAD NOIRE SUR CODE POK 34626 CORPS DE DIFFUSEUR FM 3/4"" BSP - DIFFUSEUR FEUX DE FORETS DN25 AVEC COUDE A 45° - ALU6060-T5",OAD NOIRE                     ,AST,   ,UNI     
9781,1,40568,06/22/2020,22969.FM2          ,"LANCE ""MAGIKADOR 500"" 150, 250 ET 500 L/MIN @ 6 BAR V2007 ENTRÉE FM2"" BSP - ALU - OADOption Couleur : Noir Anglais + Sous Gaine Jaune",LANCE MAGIKADOR 500 V2007 FM2 ,PF ,   ,UNI     
9782,1,40569,06/22/2020,09782.B75          ,"LANCE ""MEHRZWZCKSTRAHLROHRE"", ENTRÉE STORZ B75 ALUMINIUM + FUT PLASTIQUE",LANCE MEHRZWZCKSTRAHLROHRE    ,PF ,   ,UNI     
9783,1,40570,06/22/2020,1001706            ,Colle néoprène 125g ,Colle néoprène 125g           ,AFO,   ,UNI     
9784,1,40571,06/23/2020,44706.DEC          ,DECOUPE POUR CODE 44706,DECOUPE POUR 44706            ,PSF,   ,UNI     
9785,1,40574,06/23/2020,1001483            ,CARTON FORMAT DIMENSIONS INTERIEURES 2000X380X370 EN TRIPLE CANNELURE,CARTON DIM. INT.2000X380X370  ,AFO,   ,UNI     
9786,2,40575,06/23/2020,44503.OAD          ,OAD ROUE TURBO (POMPE AVEC Ø65) POK 44503,OAD ROUE Ø65                  ,AST,   ,UNI     
9787,2,40576,06/23/2020,44504.OAD          ,SOUS-TRAITANCE TRAITEMENT OAD POUR REF 44504 CARTER DISTRIBUTEUR TURBINE POUR ROTOR TURBO-POMPE VERSION 2020 - ALU,TRAITEMENT OAD POUR REF 44504 ,AST,   ,UNI     
9788,1,40577,06/23/2020,44662.SCI          ,SCIAGE POUR REF 44662 RACCORD D'ENTRÉE POUR FUT SOUDE POUR CANON EAU-MOUSSE PF 11000 L/MIN @ 7BAR AVEC ENTRÉE PAR BRIDE DN150 PN16 - INOX,SCIAGE POUR REF 44662         ,PSF,   ,UNI     
